column,answer,timestamp
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 12:33:09 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za računalništvo in informatiko (Faculty of Computer and Information Science),2025/11/04 12:33:36 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).3,"Računalništvo in informatika, visokošolski program (Computer Science and Informatics, higher professional program)",2025/11/04 12:33:36 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),2025/11/04 12:33:36 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 12:34:06 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 12:34:06 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 12:34:06 pop. GMT +1
"Dodatne informacije, ki bi jih želeli deliti (npr. zamenjal bom baterijo in telefon še naprej uporabljal, …)
(Additional information you would like to share — e.g., I will replace the battery and continue using the phone)","https://youtu.be/0rlS80hRIVQ
it's not a rickroll, that song's link is https://youtu.be/dQw4w9WgXcQ",2025/11/04 12:34:06 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 12:38:28 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 12:38:28 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 12:38:28 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 12:38:28 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 12:38:28 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 12:39:51 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 12:39:51 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 12:39:51 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 12:39:51 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 12:39:51 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 12:40:12 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Magistrski študijski program PEDAGOŠKA FIZIKA (Master’s Study Program EDUCATIONAL PHYSICS),2025/11/04 12:40:12 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 12:40:12 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 12:40:12 pop. GMT +1
"Dodatne informacije, ki bi jih želeli deliti (npr. zamenjal bom baterijo in telefon še naprej uporabljal, …)
(Additional information you would like to share — e.g., I will replace the battery and continue using the phone)","Že preventivno uporabljam nastavitve, ki naj bi podaljšale življenjsko dobo (npr. polnjenje le do 80 %), podobno prilagajam tudi uporabo.

Pri prejšnjem telefonu je bila za kriva kombinacija faktorjev (nezanesljivo delovanje, premalo vgrajene shrambe za vse uporabljane aplikacije, počasno delovanje).",2025/11/04 12:40:12 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 12:41:51 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 12:41:51 pop. GMT +1
Kolikšna je bila cena telefona ob nakupu? (What was the price of the phone when you bought it?),Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2025/11/04 12:41:51 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 12:41:51 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 12:41:51 pop. GMT +1
"Dodatne informacije, ki bi jih želeli deliti (npr. zamenjal bom baterijo in telefon še naprej uporabljal, …)
(Additional information you would like to share — e.g., I will replace the battery and continue using the phone)",Iskreno mi je uredu imeti isti telefon dokler je uporaben:),2025/11/04 12:41:51 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za računalništvo in informatiko (Faculty of Computer and Information Science),2025/11/04 12:45:18 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).3,"Računalništvo in matematika, univerzitetni interdisciplinarni program (Computer Science and Mathematics, university interdisciplinary program)",2025/11/04 12:45:18 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Oddal_a v reciklažo / zbirni center (Recycle / take to collection center),2025/11/04 12:45:18 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 12:45:24 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 12:45:24 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 12:45:24 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 12:45:24 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 12:45:24 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 1:00:15 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 1:00:15 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 1:00:15 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 1:00:15 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:00:15 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 1:01:20 pop. GMT +1
Kolikšna je bila cena telefona ob nakupu? (What was the price of the phone when you bought it?),Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2025/11/04 1:01:20 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 1:01:20 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 1:01:20 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:01:20 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 1:05:04 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program MATEMATIKA (University Study Program MATHEMATICS),2025/11/04 1:05:04 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 1:05:04 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 1:05:04 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:05:04 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 1:09:43 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 1:09:43 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 1:09:43 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:09:43 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 1:09:56 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Magistrski študijski program FIZIKA (Master’s Study Program PHYSICS),2025/11/04 1:09:56 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 1:09:56 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:09:56 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 1:10:41 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 1:10:41 pop. GMT +1
Kolikšna je bila cena telefona ob nakupu? (What was the price of the phone when you bought it?),Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2025/11/04 1:10:41 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 1:10:41 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:10:41 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 1:16:06 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 1:16:06 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 1:16:06 pop. GMT +1
Zakaj ste zamenjali prejšnji telefon? (Why did you replace your previous phone?),"Bil je zelo star, ni imel funkcij, ki sem jih potreboval.",2025/11/04 1:16:06 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 1:17:29 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 1:25:03 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 1:25:03 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 1:25:03 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 1:25:03 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 1:30:08 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 1:30:08 pop. GMT +1
Kolikšna je bila cena telefona ob nakupu? (What was the price of the phone when you bought it?),Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2025/11/04 1:30:08 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 1:30:08 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:30:08 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 1:52:08 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 1:52:08 pop. GMT +1
Kolikšna je bila cena telefona ob nakupu? (What was the price of the phone when you bought it?),Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2025/11/04 1:52:08 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 1:52:08 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 1:52:08 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 1:52:08 pop. GMT +1
Zakaj ste zamenjali prejšnji telefon? (Why did you replace your previous phone?),"Določene aplikacije so prenehala delovati, ker je bil prestar operacijski sistem in ni imel več posodobitev",2025/11/04 1:52:08 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:52:08 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),"Fakulteta za elektrotehniko, računalništvo in informatiko (Faculty of Electrical Engineering and Computer Science) UM",2025/11/04 1:53:39 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).1,Računalništvo in informacijske tehnologije Mag (Computer and Information Technologies),2025/11/04 1:53:39 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 1:53:39 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 1:53:39 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 1:53:39 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 2:03:39 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 2:03:39 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 2:03:39 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 2:03:39 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 2:06:05 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Interdisciplinarni magistrski študijski program RAČUNALNIŠTVO IN MATEMATIKA (Interdisciplinary Master’s Study Program COMPUTER SCIENCE AND MATHEMATICS),2025/11/04 2:06:05 pop. GMT +1
Kolikšna je bila cena telefona ob nakupu? (What was the price of the phone when you bought it?),Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2025/11/04 2:06:05 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 2:06:05 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Oddal_a v reciklažo / zbirni center (Recycle / take to collection center),2025/11/04 2:06:05 pop. GMT +1
Zakaj ste zamenjali prejšnji telefon? (Why did you replace your previous phone?),Ker je slabo deloval in sem dobila novega za darilo.,2025/11/04 2:06:05 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics),2025/11/04 2:09:27 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 2:09:27 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 2:17:46 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 2:17:46 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 2:17:46 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Oddal_a v reciklažo / zbirni center (Recycle / take to collection center),2025/11/04 2:17:46 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 2:24:27 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program MATEMATIKA (University Study Program MATHEMATICS),2025/11/04 2:24:27 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 2:29:44 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Magistrski študijski program MATEMATIKA (Master’s Study Program MATHEMATICS),2025/11/04 2:29:44 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 2:29:44 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),"Upam da zdrži čim dlje, nočem velikega primarnega telefona",2025/11/04 2:29:44 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),"Kakšna domača naprava, mogoče imessage server ali kamera ipd",2025/11/04 2:29:44 pop. GMT +1
"Dodatne informacije, ki bi jih želeli deliti (npr. zamenjal bom baterijo in telefon še naprej uporabljal, …)
(Additional information you would like to share — e.g., I will replace the battery and continue using the phone)",Najverjetneje bom menjal baterijo preden tega zamenjam,2025/11/04 2:29:44 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),"Fakulteta za elektrotehniko, računalništvo in informatiko (Faculty of Electrical Engineering and Computer Science) UM",2025/11/04 2:30:15 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).1,Računalništvo in informacijske tehnologije Uni (Computer and Information Technologies),2025/11/04 2:30:15 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 2:30:15 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 2:30:15 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 2:33:12 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 2:33:12 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),"Slaba baterija, nedelujoč zvočnik, počasno delovanje, napaka pri polnjenju",2025/11/04 2:33:12 pop. GMT +1
"Dodatne informacije, ki bi jih želeli deliti (npr. zamenjal bom baterijo in telefon še naprej uporabljal, …)
(Additional information you would like to share — e.g., I will replace the battery and continue using the phone)","Naročil sem novo baterijo za telefon, tako da jo bom zamenjal kot zadnje upanje za telefon:)",2025/11/04 2:33:12 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 2:40:23 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Visokošolski strokovni študijski program APLIKATIVNA FIZIKA (prej Fizikalna merilna tehnika) (Higher Professional Study Program APPLIED PHYSICS (formerly Physical Measurement Technology)),2025/11/04 2:40:23 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 2:40:23 pop. GMT +1
Zakaj ga imate namen zamenjati? (Why do you plan to replace it?),Počasno delovanje / zastarelost (Slow or outdated performance),2025/11/04 2:40:23 pop. GMT +1
Kam ste prejšnji telefon dali/odvrgli? (What did you do with your previous phone?),Obdržal_a kot rezervni telefon (Kept it as a backup phone),2025/11/04 2:40:23 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),Fakulteta za matematiko in fiziko (Faculty of Mathematics and Physics) UL,2025/11/04 2:46:57 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).2,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2025/11/04 2:46:57 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 2:46:57 pop. GMT +1
Kam ga boste dali po zamenjavi? (What will you do with it after replacement?),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),2025/11/04 2:46:57 pop. GMT +1
Na kateri fakulteti študirate? (At which faculty do you study?),"Fakulteta za elektrotehniko, računalništvo in informatiko (Faculty of Electrical Engineering and Computer Science) UM",2025/11/04 2:51:01 pop. GMT +1
Kateri študijski program obiskujete? (Which study program are you enrolled in?).1,Računalništvo in informacijske tehnologije Mag (Computer and Information Technologies),2025/11/04 2:51:01 pop. GMT +1
Kolikšna je bila cena telefona ob nakupu? (What was the price of the phone when you bought it?),Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2025/11/04 2:51:01 pop. GMT +1
Kdaj imate namen telefon zamenjati? (When do you plan to replace your phone?),"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",2025/11/04 2:51:01 pop. GMT +1
